,old,new
171,D AGIN,0.0
172,IWC,0.0
173,PUMP,0.0
174,MCF,0.0
175,ft2,0.0
176,tons,0.0
177,ORDER,0.0
178,H2O,0.0
179,%,0.0
180,AHUs,0.0
181,T,0.0
182,HERTZ,0.0
183,%rh,0.0
184,VLVS,0.0
185,% CAP,0.0
186,g/m,0.0
187,Hours,0.0
188,in,0.0
189,volts,0.0
190,Volts,0.0
191,min,0.0
192,JAN KW,0.0
193,CHRL,0.0
194,Psid,0.0
195,btu/lb,0.0
196,SECND5,0.0
197,% HTG,0.0
198,CODE,0.0
199,LB/HR,0.0
200,SPEED,0.0
201,Dg-phase,0.0
202,OUT,0.0
203,DELTA,0.0
204,CFM,0.0
205,SCFH,0.0
206,Gains,0.0
207,amp,0.0
208,PSIA,0.0
209,COEF,0.0
210,AHUS,0.0
211,fpm,0.0
212,kwh,0.0
213,IN H20,0.0
214,KTHRS,0.0
215,ENABLE,0.0
216,iwc,0.0
217,kWh,0.0
218,Degf,0.0
219,% OA,0.0
220,∞ F,0.0
221,Ahus,0.0
222,% LEL,0.0
223,VAr,0.0
224,kwh/pe,0.0
225,pf,0.0
226,COUNTE,0.0
227,OUTPUT,0.0
228,IGAIN,0.0
229,PSIMIN,0.0
230,% OPN,0.0
231,MEGOHM,0.0
232,hZ,0.0
233,rh,0.0
234,LEAD,0.0
235,PCT,0.0
236,CU FT,0.0
237,DEGS,0.0
238,GAIN,0.0
239,4099,0.0
240,PA,0.0
241,ft/m,0.0
242,INCH H20,0.0
243,MIcroS,0.0
244,gal,0.0
245,#,0.0
246,PMPS,0.0
247,COUNT,0.0
248,Btu,0.0
249,4097,0.0
250,Lbs/Yr,0.0
251,CYCLE,0.0
252,% CL,0.0
253,kW,0.0
254,TON HR,0.0
255,PSI,0.0
256,IG,0.0
257,% OFF,0.0
258,% CH4,0.0
259,% CLS,0.0
260,BTU hr,0.0
261,PCT RH,0.0
262,LB,0.0
263,units,0.0
264,IN WC,0.0
265,mA,0.0
266,IN HG,0.0
267,IP4,0.0
268,PH,0.0
269,BTU /H,0.0
270,WattHr,0.0
271,RAMP,0.0
272,JUL KW,0.0
273,HOURS,0.0
274,Degres,0.0
275,Time,0.0
276,MIN,0.0
277,PGAIN,0.0
278,2 Pos,0.0
279,% OPEN,0.0
280,Hrs,0.0
281,% Cool,0.0
282,STAGE,0.0
283,ft3,0.0
284,GAINS,0.0
285,gpm,0.0
286,ma,0.0
287,lbs/hr,0.0
288,FEB KW,0.0
289,Sec,0.0
290,TONHRS,0.0
291,MBTU/H,0.0
292,JUN KW,0.0
293,MWH,0.0
294,TIMER,0.0
295,4116,0.0
296,NUM,0.0
297,klb/hr,0.0
298,IP2,0.0
299,BTU,0.0
300,Tons,0.0
301,BTULB,0.0
302,deg f,0.0
303,XXX,0.0
304,KPA,0.0
305,%RH,0.0
306,Total,0.0
307,DEG F ,0.0
308,""" H20",0.0
309,CNT,0.0
310,META,0.0
311,Degree,0.0
312,MicroS,0.0
313,KLBS,0.0
314,in.Hg.,0.0
315,PsiG,0.0
316,%HEAT,0.0
317,MAR KW,0.0
318,PORT,0.0
319,VOLTS,0.0
320,psi,0.0
321,GPM_MI,0.0
322,TOTAL,0.0
323,% RLA,0.0
324,UNITS,0.0
325,INW,0.0
326,degree,0.0
327,PMP,0.0
328,NO DIM,0.0
329,KWH/W,0.0
330,days,0.0
331,PCTCLS,0.0
332,LOOP,0.0
333,157,0.0
334,BTUS/H,0.0
335,∞,0.0
336,146,0.0
337,ft3/min,0.0
338,DegF,0.0
339,MMBTU,0.0
340,BOILER,0.0
341,Secnds,0.0
342,Amps,0.0
343,Btu/h,0.0
344,CHLRS,0.0
345,in H20,0.0
346,AMPs,0.0
347,SECND6,0.0
348,G/M,0.0
349,CFMX10,0.0
350,FAULT,0.0
351,GALLONS,0.0
352,FT3/MI,0.0
353,COMM,0.0
354,kw / t,0.0
355,PSID,0.0
356,PERCNT,0.0
357,kW/Ton,0.0
358,KWH/Y,0.0
359,V,0.0
360,inWC,0.0
361,Deg f,0.0
362,% ON,0.0
363,MBTUH,0.0
364,HRS,0.0
365,PSIG.,0.0
366,VDC,0.0
367,PRCNT,0.0
368,Mode,0.0
369,RH,0.0
370,GALLON,0.0
371,Deg.,0.0
372,VFD,0.0
373,IN-H2O,0.0
374,CUFTLB,0.0
375,ft cd,0.0
376,DEG F,0.0
377,FT3/M,0.0
378,psimin,0.0
379,W,0.0
380,REQ,0.0
381,FT,0.0
382,MAY KW,0.0
383,P GAIN,0.0
384,P;CT,0.0
385,In H2O,0.0
386,WC,0.0
387,ft3/m,0.0
388,155,0.0
389,pph/Tn,0.0
390,GALS/M,0.0
391,AMPS,0.0
392,GPM,0.0
393,Htz,0.0
394,% OVER,0.0
395,IP1,0.0
396,TWRS,0.0
397,in wc,0.0
398,RP1,0.0
399,KGAL,0.0
400,BTU LB,0.0
401,KW/TON,0.0
402,BTU'S,0.0
403,SECOND,0.0
404,Mohm-cm,0.0
405,S/m,0.0
406,BTU /,0.0
407,DG,0.0
408,LBS/HR,0.0
409,HP,0.0
410,% opn,0.0
411,LBS,0.0
412,% Open,0.0
413,inH2O,0.0
414,FPS,0.0
415,SCF,0.0
416,%CLOSE,0.0
417,PCT.,0.0
418,I GAIN,0.0
419,KWH,0.0
420,W h,0.0
421,AREA,0.0
422,CWPS,0.0
423,ft3/s,0.0
424,SCNDS,0.0
425,INCHES,0.0
426,IPS,0.0
427,STARTS,0.0
428,BLRS,0.0
429,TONS,0.0
430,FT3/MIN,0.0
431,DEGS F,0.0
432,$$,0.0
433,TONS H,0.0
434,PPO,0.0
435,MBH,0.0
436,Btuh,0.0
437,SYSTEM,0.0
438,secs,0.0
439,IN WG,0.0
440,LP1,0.0
441,TPY,0.0
442,m2,0.0
443,27/28,0.0
444,RH%,0.0
445,Pct,0.0
446,% Clos,0.0
447,CNTROL,0.0
448,%BYP,0.0
449,#STAGE,0.0
450,#/HR,0.0
451,in H2O,0.0
452,MA,0.0
453,F,0.0
454,FAN,0.0
455,KW,0.0
456,FANS,0.0
457,MV,0.0
458,pmp,0.0
459,KCFM,0.0
460,MODE,0.0
461,GAL,0.0
462,VALUE,0.0
463,HZ,0.0
464,OCT KW,0.0
465,SECS,0.0
466,Pump,0.0
467,MAXFLN,0.0
468,degmin,0.0
469,MWh,0.0
470,Pct.,0.0
471,% FLA,0.0
472,% Rh,0.0
473,ft,0.0
474,P[SI,0.0
475,KW/Ton,0.0
476,DEG F/m,0.0
477,Btu/lbs,0.0
